condition,condition_group,sex,min_age,max_age,value,diagnoses,mortality_flag
Malignant neoplasm of: Oesophagus,chronic,2,16,24,0.27,C15,NA
Malignant neoplasm of: Oesophagus,chronic,1,25,34,0.48,C15,NA
Malignant neoplasm of: Oesophagus,chronic,2,25,34,0.3,C15,NA
Malignant neoplasm of: Oesophagus,chronic,1,35,44,0.52,C15,NA
Malignant neoplasm of: Oesophagus,chronic,2,35,44,0.35,C15,NA
Malignant neoplasm of: Oesophagus,chronic,1,45,54,0.54,C15,NA
Malignant neoplasm of: Oesophagus,chronic,2,45,54,0.44,C15,NA
Malignant neoplasm of: Oesophagus,chronic,1,55,64,0.57,C15,NA
Malignant neoplasm of: Oesophagus,chronic,2,55,64,0.4,C15,NA
Malignant neoplasm of: Oesophagus,chronic,1,65,74,0.54,C15,NA
Malignant neoplasm of: Oesophagus,chronic,2,65,74,0.32,C15,NA
Malignant neoplasm of: Oesophagus,chronic,1,75,84,0.46,C15,NA
Malignant neoplasm of: Oesophagus,chronic,2,75,84,0.26,C15,NA
Malignant neoplasm of: Oesophagus,chronic,1,85,1000,0.37,C15,NA
Malignant neoplasm of: Oesophagus,chronic,2,85,1000,0.16,C15,NA
Malignant neoplasm of: Colon,chronic,1,16,24,0.09,C18,NA
Malignant neoplasm of: Colon,chronic,2,16,24,0.05,C18,NA
Malignant neoplasm of: Colon,chronic,1,25,34,0.12,C18,NA
Malignant neoplasm of: Colon,chronic,2,25,34,0.06,C18,NA
Malignant neoplasm of: Colon,chronic,1,35,44,0.14,C18,NA
Malignant neoplasm of: Colon,chronic,2,35,44,0.07,C18,NA
Malignant neoplasm of: Colon,chronic,1,45,54,0.14,C18,NA
Malignant neoplasm of: Colon,chronic,2,45,54,0.1,C18,NA
Malignant neoplasm of: Colon,chronic,1,55,64,0.16,C18,NA
Malignant neoplasm of: Colon,chronic,2,55,64,0.09,C18,NA
Malignant neoplasm of: Colon,chronic,1,65,74,0.14,C18,NA
Malignant neoplasm of: Colon,chronic,2,65,74,0.06,C18,NA
Malignant neoplasm of: Colon,chronic,1,75,84,0.11,C18,NA
Malignant neoplasm of: Colon,chronic,2,75,84,0.05,C18,NA
Malignant neoplasm of: Colon,chronic,1,85,1000,0.08,C18,NA
Malignant neoplasm of: Colon,chronic,2,85,1000,0.03,C18,NA
Malignant neoplasm of: Rectum,chronic,1,16,24,0.09,C20,NA
Malignant neoplasm of: Rectum,chronic,2,16,24,0.05,C20,NA
Malignant neoplasm of: Rectum,chronic,1,25,34,0.12,C20,NA
Malignant neoplasm of: Rectum,chronic,2,25,34,0.06,C20,NA
Malignant neoplasm of: Rectum,chronic,1,35,44,0.14,C20,NA
Malignant neoplasm of: Rectum,chronic,2,35,44,0.07,C20,NA
Malignant neoplasm of: Rectum,chronic,1,45,54,0.14,C20,NA
Malignant neoplasm of: Rectum,chronic,2,45,54,0.1,C20,NA
Malignant neoplasm of: Rectum,chronic,1,55,64,0.16,C20,NA
Malignant neoplasm of: Rectum,chronic,2,55,64,0.09,C20,NA
Malignant neoplasm of: Rectum,chronic,1,65,74,0.14,C20,NA
Malignant neoplasm of: Rectum,chronic,2,65,74,0.06,C20,NA
Malignant neoplasm of: Rectum,chronic,1,75,84,0.11,C20,NA
Malignant neoplasm of: Rectum,chronic,2,75,84,0.05,C20,NA
Malignant neoplasm of: Rectum,chronic,1,85,1000,0.08,C20,NA
Malignant neoplasm of: Rectum,chronic,2,85,1000,0.03,C20,NA
Malignant neoplasm of: Liver and intrahepatic bile ducts,chronic,1,16,24,0.16,C22,NA
Malignant neoplasm of: Liver and intrahepatic bile ducts,chronic,2,16,24,0.05,C22,NA
Malignant neoplasm of: Liver and intrahepatic bile ducts,chronic,1,25,34,0.25,C22,NA
Malignant neoplasm of: Liver and intrahepatic bile ducts,chronic,2,25,34,0.06,C22,NA
Malignant neoplasm of: Liver and intrahepatic bile ducts,chronic,1,35,44,0.34,C22,NA
Malignant neoplasm of: Liver and intrahepatic bile ducts,chronic,2,35,44,0.11,C22,NA
Malignant neoplasm of: Liver and intrahepatic bile ducts,chronic,1,45,54,0.37,C22,NA
Malignant neoplasm of: Liver and intrahepatic bile ducts,chronic,2,45,54,0.2,C22,NA
Malignant neoplasm of: Liver and intrahepatic bile ducts,chronic,1,55,64,0.42,C22,NA
Malignant neoplasm of: Liver and intrahepatic bile ducts,chronic,2,55,64,0.16,C22,NA
Malignant neoplasm of: Liver and intrahepatic bile ducts,chronic,1,65,74,0.37,C22,NA
Malignant neoplasm of: Liver and intrahepatic bile ducts,chronic,2,65,74,0.08,C22,NA
Malignant neoplasm of: Liver and intrahepatic bile ducts,chronic,1,75,84,0.24,C22,NA
Malignant neoplasm of: Liver and intrahepatic bile ducts,chronic,2,75,84,0.05,C22,NA
Malignant neoplasm of: Liver and intrahepatic bile ducts,chronic,1,85,1000,0.11,C22,NA
Malignant neoplasm of: Liver and intrahepatic bile ducts,chronic,2,85,1000,0.01,C22,NA
Malignant neoplasm of: Larynx,chronic,1,16,24,0.19,C32,NA
Malignant neoplasm of: Larynx,chronic,2,16,24,0.12,C32,NA
Malignant neoplasm of: Larynx,chronic,1,25,34,0.26,C32,NA
Malignant neoplasm of: Larynx,chronic,2,25,34,0.14,C32,NA
Malignant neoplasm of: Larynx,chronic,1,35,44,0.3,C32,NA
Malignant neoplasm of: Larynx,chronic,2,35,44,0.17,C32,NA
Malignant neoplasm of: Larynx,chronic,1,45,54,0.31,C32,NA
Malignant neoplasm of: Larynx,chronic,2,45,54,0.23,C32,NA
Malignant neoplasm of: Larynx,chronic,1,55,64,0.34,C32,NA
Malignant neoplasm of: Larynx,chronic,2,55,64,0.2,C32,NA
Malignant neoplasm of: Larynx,chronic,1,65,74,0.31,C32,NA
Malignant neoplasm of: Larynx,chronic,2,65,74,0.15,C32,NA
Malignant neoplasm of: Larynx,chronic,1,75,84,0.25,C32,NA
Malignant neoplasm of: Larynx,chronic,2,75,84,0.11,C32,NA
Malignant neoplasm of: Larynx,chronic,1,85,1000,0.18,C32,NA
Malignant neoplasm of: Larynx,chronic,2,85,1000,0.06,C32,NA
Malignant neoplasm of: Breast,chronic,2,16,24,0.08,C50,NA
Malignant neoplasm of: Breast,chronic,2,25,34,0.1,C50,NA
Malignant neoplasm of: Breast,chronic,2,35,44,0.12,C50,NA
Malignant neoplasm of: Breast,chronic,2,45,54,0.17,C50,NA
Malignant neoplasm of: Breast,chronic,2,55,64,0.15,C50,NA
Malignant neoplasm of: Breast,chronic,2,65,74,0.11,C50,NA
Malignant neoplasm of: Breast,chronic,2,75,84,0.08,C50,NA
Malignant neoplasm of: Breast,chronic,2,85,1000,0.04,C50,NA
Diabetes mellitus: Diabetes mellitus (type II),chronic,1,16,24,-0.11,E11,NA
Diabetes mellitus: Diabetes mellitus (type II),chronic,2,16,24,-0.12,E11,NA
Diabetes mellitus: Diabetes mellitus (type II),chronic,1,25,34,-0.12,E11,NA
Diabetes mellitus: Diabetes mellitus (type II),chronic,2,25,34,-0.13,E11,NA
Diabetes mellitus: Diabetes mellitus (type II),chronic,1,35,44,-0.1,E11,NA
Diabetes mellitus: Diabetes mellitus (type II),chronic,2,35,44,-0.13,E11,NA
Diabetes mellitus: Diabetes mellitus (type II),chronic,1,45,54,-0.1,E11,NA
Diabetes mellitus: Diabetes mellitus (type II),chronic,2,45,54,-0.13,E11,NA
Diabetes mellitus: Diabetes mellitus (type II),chronic,1,55,64,-0.09,E11,NA
Diabetes mellitus: Diabetes mellitus (type II),chronic,2,55,64,-0.14,E11,NA
Diabetes mellitus: Diabetes mellitus (type II),chronic,1,65,74,-0.1,E11,NA
Diabetes mellitus: Diabetes mellitus (type II),chronic,2,65,74,-0.13,E11,NA
Diabetes mellitus: Diabetes mellitus (type II),chronic,1,75,84,-0.11,E11,NA
Diabetes mellitus: Diabetes mellitus (type II),chronic,2,75,84,-0.12,E11,NA
Diabetes mellitus: Diabetes mellitus (type II),chronic,1,85,1000,-0.13,E11,NA
Diabetes mellitus: Diabetes mellitus (type II),chronic,2,85,1000,-0.1,E11,NA
Diseases of the nervous: Epilepsy and Status epilepticus,chronic,1,16,24,0.18,G4[01],NA
Diseases of the nervous: Epilepsy and Status epilepticus,chronic,2,16,24,0.11,G4[01],NA
Diseases of the nervous: Epilepsy and Status epilepticus,chronic,1,25,34,0.25,G4[01],NA
Diseases of the nervous: Epilepsy and Status epilepticus,chronic,2,25,34,0.13,G4[01],NA
Diseases of the nervous: Epilepsy and Status epilepticus,chronic,1,35,44,0.28,G4[01],NA
Diseases of the nervous: Epilepsy and Status epilepticus,chronic,2,35,44,0.15,G4[01],NA
Diseases of the nervous: Epilepsy and Status epilepticus,chronic,1,45,54,0.29,G4[01],NA
Diseases of the nervous: Epilepsy and Status epilepticus,chronic,2,45,54,0.21,G4[01],NA
Diseases of the nervous: Epilepsy and Status epilepticus,chronic,1,55,64,0.32,G4[01],NA
Diseases of the nervous: Epilepsy and Status epilepticus,chronic,2,55,64,0.19,G4[01],NA
Diseases of the nervous: Epilepsy and Status epilepticus,chronic,1,65,74,0.29,G4[01],NA
Diseases of the nervous: Epilepsy and Status epilepticus,chronic,2,65,74,0.14,G4[01],NA
Diseases of the nervous: Epilepsy and Status epilepticus,chronic,1,75,84,0.23,G4[01],NA
Diseases of the nervous: Epilepsy and Status epilepticus,chronic,2,75,84,0.1,G4[01],NA
Diseases of the nervous: Epilepsy and Status epilepticus,chronic,1,85,1000,0.16,G4[01],NA
Diseases of the nervous: Epilepsy and Status epilepticus,chronic,2,85,1000,0.06,G4[01],NA
Cardiovascular diseases: Hypertensive diseases,chronic,1,16,24,0.1,I1[0-5],NA
Cardiovascular diseases: Hypertensive diseases,chronic,2,16,24,-0.01,I1[0-5],NA
Cardiovascular diseases: Hypertensive diseases,chronic,1,25,34,0.14,I1[0-5],NA
Cardiovascular diseases: Hypertensive diseases,chronic,2,25,34,0,I1[0-5],NA
Cardiovascular diseases: Hypertensive diseases,chronic,1,35,44,0.15,I1[0-5],NA
Cardiovascular diseases: Hypertensive diseases,chronic,2,35,44,0.02,I1[0-5],NA
Cardiovascular diseases: Hypertensive diseases,chronic,1,45,54,0.16,I1[0-5],NA
Cardiovascular diseases: Hypertensive diseases,chronic,2,45,54,0.07,I1[0-5],NA
Cardiovascular diseases: Hypertensive diseases,chronic,1,55,64,0.17,I1[0-5],NA
Cardiovascular diseases: Hypertensive diseases,chronic,2,55,64,0.05,I1[0-5],NA
Cardiovascular diseases: Hypertensive diseases,chronic,1,65,74,0.16,I1[0-5],NA
Cardiovascular diseases: Hypertensive diseases,chronic,2,65,74,0.01,I1[0-5],NA
Cardiovascular diseases: Hypertensive diseases,chronic,1,75,84,0.13,I1[0-5],NA
Cardiovascular diseases: Hypertensive diseases,chronic,2,75,84,-0.01,I1[0-5],NA
Cardiovascular diseases: Hypertensive diseases,chronic,1,85,1000,0.1,I1[0-5],NA
Cardiovascular diseases: Hypertensive diseases,chronic,2,85,1000,-0.02,I1[0-5],NA
Cardiovascular diseases: Ischaemic heart disease,chronic,1,16,24,-0.15,I2[0-5],NA
Cardiovascular diseases: Ischaemic heart disease,chronic,2,16,24,-0.23,I2[0-5],NA
Cardiovascular diseases: Ischaemic heart disease,chronic,1,25,34,-0.18,I2[0-5],NA
Cardiovascular diseases: Ischaemic heart disease,chronic,2,25,34,-0.26,I2[0-5],NA
Cardiovascular diseases: Ischaemic heart disease,chronic,1,35,44,-0.18,I2[0-5],NA
Cardiovascular diseases: Ischaemic heart disease,chronic,2,35,44,-0.26,I2[0-5],NA
Cardiovascular diseases: Ischaemic heart disease,chronic,1,45,54,-0.18,I2[0-5],NA
Cardiovascular diseases: Ischaemic heart disease,chronic,2,45,54,-0.22,I2[0-5],NA
Cardiovascular diseases: Ischaemic heart disease,chronic,1,55,64,-0.18,I2[0-5],NA
Cardiovascular diseases: Ischaemic heart disease,chronic,2,55,64,-0.25,I2[0-5],NA
Cardiovascular diseases: Ischaemic heart disease,chronic,1,65,74,-0.18,I2[0-5],NA
Cardiovascular diseases: Ischaemic heart disease,chronic,2,65,74,-0.24,I2[0-5],NA
Cardiovascular diseases: Ischaemic heart disease,chronic,1,75,84,-0.17,I2[0-5],NA
Cardiovascular diseases: Ischaemic heart disease,chronic,2,75,84,-0.22,I2[0-5],NA
Cardiovascular diseases: Ischaemic heart disease,chronic,1,85,1000,-0.17,I2[0-5],NA
Cardiovascular diseases: Ischaemic heart disease,chronic,2,85,1000,-0.16,I2[0-5],NA
Cardiovascular diseases: Cardiac arrhythmias,chronic,1,16,24,0.13,I4[78],NA
Cardiovascular diseases: Cardiac arrhythmias,chronic,2,16,24,0.08,I4[78],NA
Cardiovascular diseases: Cardiac arrhythmias,chronic,1,25,34,0.18,I4[78],NA
Cardiovascular diseases: Cardiac arrhythmias,chronic,2,25,34,0.1,I4[78],NA
Cardiovascular diseases: Cardiac arrhythmias,chronic,1,35,44,0.2,I4[78],NA
Cardiovascular diseases: Cardiac arrhythmias,chronic,2,35,44,0.12,I4[78],NA
Cardiovascular diseases: Cardiac arrhythmias,chronic,1,45,54,0.21,I4[78],NA
Cardiovascular diseases: Cardiac arrhythmias,chronic,2,45,54,0.15,I4[78],NA
Cardiovascular diseases: Cardiac arrhythmias,chronic,1,55,64,0.23,I4[78],NA
Cardiovascular diseases: Cardiac arrhythmias,chronic,2,55,64,0.14,I4[78],NA
Cardiovascular diseases: Cardiac arrhythmias,chronic,1,65,74,0.21,I4[78],NA
Cardiovascular diseases: Cardiac arrhythmias,chronic,2,65,74,0.1,I4[78],NA
Cardiovascular diseases: Cardiac arrhythmias,chronic,1,75,84,0.17,I4[78],NA
Cardiovascular diseases: Cardiac arrhythmias,chronic,2,75,84,0.08,I4[78],NA
Cardiovascular diseases: Cardiac arrhythmias,chronic,1,85,1000,0.12,I4[78],NA
Cardiovascular diseases: Cardiac arrhythmias,chronic,2,85,1000,0.05,I4[78],NA
Cardiovascular diseases: Heart failure,chronic,1,16,24,0.08,I5[01],NA
Cardiovascular diseases: Heart failure,chronic,2,16,24,-0.03,I5[01],NA
Cardiovascular diseases: Heart failure,chronic,1,25,34,0.11,I5[01],NA
Cardiovascular diseases: Heart failure,chronic,2,25,34,-0.04,I5[01],NA
Cardiovascular diseases: Heart failure,chronic,1,35,44,0.13,I5[01],NA
Cardiovascular diseases: Heart failure,chronic,2,35,44,-0.05,I5[01],NA
Cardiovascular diseases: Heart failure,chronic,1,45,54,0.13,I5[01],NA
Cardiovascular diseases: Heart failure,chronic,2,45,54,-0.07,I5[01],NA
Cardiovascular diseases: Heart failure,chronic,1,55,64,0.15,I5[01],NA
Cardiovascular diseases: Heart failure,chronic,2,55,64,-0.06,I5[01],NA
Cardiovascular diseases: Heart failure,chronic,1,65,74,0.13,I5[01],NA
Cardiovascular diseases: Heart failure,chronic,2,65,74,-0.04,I5[01],NA
Cardiovascular diseases: Heart failure,chronic,1,75,84,0.11,I5[01],NA
Cardiovascular diseases: Heart failure,chronic,2,75,84,-0.03,I5[01],NA
Cardiovascular diseases: Heart failure,chronic,1,85,1000,0.08,I5[01],NA
Cardiovascular diseases: Heart failure,chronic,2,85,1000,-0.02,I5[01],NA
Cardiovascular diseases: Haemorrhagic stroke,chronic,1,16,24,0.08,I6[0-2],TRUE
Cardiovascular diseases: Haemorrhagic stroke,chronic,1,16,24,0.08,I69[0-2],FALSE
Cardiovascular diseases: Haemorrhagic stroke,chronic,2,16,24,0.03,I6[0-2],TRUE
Cardiovascular diseases: Haemorrhagic stroke,chronic,2,16,24,0.03,I69[0-2],FALSE
Cardiovascular diseases: Haemorrhagic stroke,chronic,1,25,34,0.12,I6[0-2],TRUE
Cardiovascular diseases: Haemorrhagic stroke,chronic,1,25,34,0.12,I69[0-2],FALSE
Cardiovascular diseases: Haemorrhagic stroke,chronic,2,25,34,0.05,I6[0-2],TRUE
Cardiovascular diseases: Haemorrhagic stroke,chronic,2,25,34,0.05,I69[0-2],FALSE
Cardiovascular diseases: Haemorrhagic stroke,chronic,1,35,44,0.14,I6[0-2],TRUE
Cardiovascular diseases: Haemorrhagic stroke,chronic,1,35,44,0.14,I69[0-2],FALSE
Cardiovascular diseases: Haemorrhagic stroke,chronic,2,35,44,0.1,I6[0-2],TRUE
Cardiovascular diseases: Haemorrhagic stroke,chronic,2,35,44,0.1,I69[0-2],FALSE
Cardiovascular diseases: Haemorrhagic stroke,chronic,1,45,54,0.15,I6[0-2],TRUE
Cardiovascular diseases: Haemorrhagic stroke,chronic,1,45,54,0.15,I69[0-2],FALSE
Cardiovascular diseases: Haemorrhagic stroke,chronic,2,45,54,0.2,I6[0-2],TRUE
Cardiovascular diseases: Haemorrhagic stroke,chronic,2,45,54,0.2,I69[0-2],FALSE
Cardiovascular diseases: Haemorrhagic stroke,chronic,1,55,64,0.16,I6[0-2],TRUE
Cardiovascular diseases: Haemorrhagic stroke,chronic,1,55,64,0.16,I69[0-2],FALSE
Cardiovascular diseases: Haemorrhagic stroke,chronic,2,55,64,0.15,I6[0-2],TRUE
Cardiovascular diseases: Haemorrhagic stroke,chronic,2,55,64,0.15,I69[0-2],FALSE
Cardiovascular diseases: Haemorrhagic stroke,chronic,1,65,74,0.15,I6[0-2],TRUE
Cardiovascular diseases: Haemorrhagic stroke,chronic,1,65,74,0.15,I69[0-2],FALSE
Cardiovascular diseases: Haemorrhagic stroke,chronic,2,65,74,0.07,I6[0-2],TRUE
Cardiovascular diseases: Haemorrhagic stroke,chronic,2,65,74,0.07,I69[0-2],FALSE
Cardiovascular diseases: Haemorrhagic stroke,chronic,1,75,84,0.11,I6[0-2],TRUE
Cardiovascular diseases: Haemorrhagic stroke,chronic,1,75,84,0.11,I69[0-2],FALSE
Cardiovascular diseases: Haemorrhagic stroke,chronic,2,75,84,0.03,I6[0-2],TRUE
Cardiovascular diseases: Haemorrhagic stroke,chronic,2,75,84,0.03,I69[0-2],FALSE
Cardiovascular diseases: Haemorrhagic stroke,chronic,1,85,1000,0.07,I6[0-2],TRUE
Cardiovascular diseases: Haemorrhagic stroke,chronic,1,85,1000,0.07,I69[0-2],FALSE
Cardiovascular diseases: Haemorrhagic stroke,chronic,2,85,1000,0,I6[0-2],TRUE
Cardiovascular diseases: Haemorrhagic stroke,chronic,2,85,1000,0,I69[0-2],FALSE
Cardiovascular diseases: Haemorrhagic stroke,chronic,1,16,24,0.13,I6[0-2],TRUE
Cardiovascular diseases: Haemorrhagic stroke,chronic,1,16,24,0.13,I69[0-2],FALSE
Cardiovascular diseases: Haemorrhagic stroke,chronic,2,16,24,0.08,I6[0-2],TRUE
Cardiovascular diseases: Haemorrhagic stroke,chronic,2,16,24,0.08,I69[0-2],FALSE
Cardiovascular diseases: Haemorrhagic stroke,chronic,1,25,34,0.18,I6[0-2],TRUE
Cardiovascular diseases: Haemorrhagic stroke,chronic,1,25,34,0.18,I69[0-2],FALSE
Cardiovascular diseases: Haemorrhagic stroke,chronic,2,25,34,0.1,I6[0-2],TRUE
Cardiovascular diseases: Haemorrhagic stroke,chronic,2,25,34,0.1,I69[0-2],FALSE
Cardiovascular diseases: Haemorrhagic stroke,chronic,1,35,44,0.2,I6[0-2],TRUE
Cardiovascular diseases: Haemorrhagic stroke,chronic,1,35,44,0.2,I69[0-2],FALSE
Cardiovascular diseases: Haemorrhagic stroke,chronic,2,35,44,0.12,I6[0-2],TRUE
Cardiovascular diseases: Haemorrhagic stroke,chronic,2,35,44,0.12,I69[0-2],FALSE
Cardiovascular diseases: Haemorrhagic stroke,chronic,1,45,54,0.21,I6[0-2],TRUE
Cardiovascular diseases: Haemorrhagic stroke,chronic,1,45,54,0.21,I69[0-2],FALSE
Cardiovascular diseases: Haemorrhagic stroke,chronic,2,45,54,0.15,I6[0-2],TRUE
Cardiovascular diseases: Haemorrhagic stroke,chronic,2,45,54,0.15,I69[0-2],FALSE
Cardiovascular diseases: Haemorrhagic stroke,chronic,1,55,64,0.23,I6[0-2],TRUE
Cardiovascular diseases: Haemorrhagic stroke,chronic,1,55,64,0.23,I69[0-2],FALSE
Cardiovascular diseases: Haemorrhagic stroke,chronic,2,55,64,0.14,I6[0-2],TRUE
Cardiovascular diseases: Haemorrhagic stroke,chronic,2,55,64,0.14,I69[0-2],FALSE
Cardiovascular diseases: Haemorrhagic stroke,chronic,1,65,74,0.21,I6[0-2],TRUE
Cardiovascular diseases: Haemorrhagic stroke,chronic,1,65,74,0.21,I69[0-2],FALSE
Cardiovascular diseases: Haemorrhagic stroke,chronic,2,65,74,0.1,I6[0-2],TRUE
Cardiovascular diseases: Haemorrhagic stroke,chronic,2,65,74,0.1,I69[0-2],FALSE
Cardiovascular diseases: Haemorrhagic stroke,chronic,1,75,84,0.17,I6[0-2],TRUE
Cardiovascular diseases: Haemorrhagic stroke,chronic,1,75,84,0.17,I69[0-2],FALSE
Cardiovascular diseases: Haemorrhagic stroke,chronic,2,75,84,0.08,I6[0-2],TRUE
Cardiovascular diseases: Haemorrhagic stroke,chronic,2,75,84,0.08,I69[0-2],FALSE
Cardiovascular diseases: Haemorrhagic stroke,chronic,1,85,1000,0.12,I6[0-2],TRUE
Cardiovascular diseases: Haemorrhagic stroke,chronic,1,85,1000,0.12,I69[0-2],FALSE
Cardiovascular diseases: Haemorrhagic stroke,chronic,2,85,1000,0.05,I6[0-2],TRUE
Cardiovascular diseases: Haemorrhagic stroke,chronic,2,85,1000,0.05,I69[0-2],FALSE
Cardiovascular diseases: Ischaemic stroke,chronic,1,16,24,0.02,I6[3-6],TRUE
Cardiovascular diseases: Ischaemic stroke,chronic,1,16,24,0.02,I69[34],FALSE
Cardiovascular diseases: Ischaemic stroke,chronic,2,16,24,0.01,I6[3-6],TRUE
Cardiovascular diseases: Ischaemic stroke,chronic,2,16,24,0.01,I69[34],FALSE
Cardiovascular diseases: Ischaemic stroke,chronic,1,25,34,0.02,I6[3-6],TRUE
Cardiovascular diseases: Ischaemic stroke,chronic,1,25,34,0.02,I69[34],FALSE
Cardiovascular diseases: Ischaemic stroke,chronic,2,25,34,0.01,I6[3-6],TRUE
Cardiovascular diseases: Ischaemic stroke,chronic,2,25,34,0.01,I69[34],FALSE
Cardiovascular diseases: Ischaemic stroke,chronic,1,35,44,0.03,I6[3-6],TRUE
Cardiovascular diseases: Ischaemic stroke,chronic,1,35,44,0.03,I69[34],FALSE
Cardiovascular diseases: Ischaemic stroke,chronic,2,35,44,0.01,I6[3-6],TRUE
Cardiovascular diseases: Ischaemic stroke,chronic,2,35,44,0.01,I69[34],FALSE
Cardiovascular diseases: Ischaemic stroke,chronic,1,45,54,0.03,I6[3-6],TRUE
Cardiovascular diseases: Ischaemic stroke,chronic,1,45,54,0.03,I69[34],FALSE
Cardiovascular diseases: Ischaemic stroke,chronic,2,45,54,0.02,I6[3-6],TRUE
Cardiovascular diseases: Ischaemic stroke,chronic,2,45,54,0.02,I69[34],FALSE
Cardiovascular diseases: Ischaemic stroke,chronic,1,55,64,0.03,I6[3-6],TRUE
Cardiovascular diseases: Ischaemic stroke,chronic,1,55,64,0.03,I69[34],FALSE
